Fecha,Ciudad,Nombre,Precio Real,Precio Actual,Promocion,url,ean,Unidad de Medida,Cantidad,Marca,Compañia,Categoria,Descripcion
23-01,Medellin,Yogurt Finesse Fresa y Melocoton x6 Und Vaso 150 g,16199,16199,FALSE,https://alpina.com/yogurt-finesse-fresa-y-melocoton-x6-und-vaso-150-g,7702001155187,Gramo,"15,1",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Fresa- Melocoton 150g x6 Vaso X 150ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Queso Finesse 15 Tajadas 239 g,14500,14500,FALSE,https://alpina.com/queso-finesse-15-tajadas-239-g,7702001121779,Gramo,"60,7",Finesse,Alpina,Quesos,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Queso Finesse Bloque 300 g,15500,15500,FALSE,https://alpina.com/queso-finesse-bloque-300-g,7702001018444,Gramo,"51,7",Finesse,Alpina,Quesos,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yogurt Finesse Melocoton Vaso 180 g,3200,3200,FALSE,https://alpina.com/yogurt-finesse-melocoton-vaso-180-g,7702001155156,Gramo,"14,9",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Melocoton Vaso 180g Vaso X 180ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Queso Finesse Deslactosado Bloque 250 g,12500,12500,FALSE,https://alpina.com/queso-finesse-deslactosado-bloque-250-g,7702001112487,Gramo,"50,0",Finesse,Alpina,Quesos,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Gelatina Finesse Frutos Amarillos 108 g,1900,1900,FALSE,https://alpina.com/gelatina-finesse-frutos-amarillos-108-g,7702001147250,Gramo,"14,8",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Brownie Finesse 44 g,3900,3900,FALSE,https://alpina.com/brownie-finesse-44-g,7702001153466,Gramo,"74,5",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Gelatina Frutos Amarillos Finesse x3 Und 108 g,5500,5500,FALSE,https://alpina.com/gelatina-frutos-amarillos-finesse-x3-und-108-g,7702001147304,Gramo,"14,3",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Avena Finesse Vaso 250 g,3800,3800,FALSE,https://alpina.com/avena-finesse-vaso-250-g,7702001084999,Gramo,"12,8",Finesse,Alpina,Avena Finesse,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yogurt Finesse Fresa Vaso 180 g,3200,3200,FALSE,https://alpina.com/yogurt-finesse-fresa-vaso-180-g,7702001155149,Gramo,"14,9",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Fresa Vaso 180g Vaso X 180ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Gelatina Finesse Frutos Rojos Vaso 108 g,1900,1900,FALSE,https://alpina.com/gelatina-finesse-frutos-rojos-vaso-108-g,7702001147243,Gramo,"14,8",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yogurt Finesse Natural con cereal 170 g,4100,4100,FALSE,https://alpina.com/yogurt-finesse-natural-con-cereal-170-g,7702001155293,Gramo,"20,3",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Natural con cereal x170g Vaso X 170ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Queso Amarillo Finesse 15 Tajadas 240 g,18700,18700,FALSE,https://alpina.com/queso-amarillo-finesse-15-tajadas-240-g,7702001156436,Gramo,"77,9",Finesse,Alpina,Quesos,Finessellega como un aliado para demostrar que no hay que renunciar para sentirse completas y que pueden elegir sin sacrificios. Es una marca que se enfoca en el cuidado de la figura para ser complementado con una alimentación balanceada y ejercicio físico
23-01,Medellin,Gelatina Frutos Rojos Finesse x3 Und 108 g,5500,5500,FALSE,https://alpina.com/gelatina-frutos-rojos-finesse-x3-und-108-g,7702001147281,Gramo,"14,3",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Brownie Finesse x4 Und 44 g,15200,15200,FALSE,https://alpina.com/brownie-finesse-x4-und-44-g,7702001153800,Gramo,"72,6",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yogurt Finesse Frutos rojos Botella 1700 ml,22501,22501,FALSE,https://alpina.com/yogurt-finesse-frutos-rojos-botella-1700-ml,7702001155262,Mililitro,"11,1",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Frutos rojos Botella 1700ml Botella X 1700ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Avena Finesse Caja 1000 ml,9500,9500,FALSE,https://alpina.com/avena-finesse-caja-1000-ml,7702001084975,Mililitro,"8,0",Finesse,Alpina,Avena Finesse,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yox Melocotón Botella 100 g,2300,2300,FALSE,https://alpina.com/yox-melocoton-botella-100-g,7702001042005,Gramo,"19,3",Yox,Alpina,Melocoton,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Queso Finesse Bloque 1000 g,48000,48000,FALSE,https://alpina.com/queso-finesse-bloque-1000-g,7702001018437,Gramo,"48,0",Finesse,Alpina,Quesos,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yogurt Finesse Natural Botella 1700 ml,22501,22501,FALSE,https://alpina.com/yogurt-finesse-natural-botella-1700-ml,7702001155279,Mililitro,"11,1",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Natural Botella 1700ml Botella X 1700ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Yogurt Finesse Frutos rojos Vaso 180 g,3200,3200,FALSE,https://alpina.com/yogurt-finesse-frutos-rojos-vaso-180-g,7702001155170,Gramo,"14,9",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Frutos rojos Vaso 180g Vaso X 180ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Yogurt Finesse Melocoton Botella 1700 ml,22501,22501,FALSE,https://alpina.com/yogurt-finesse-melocoton-botella-1700-ml,7702001155286,Mililitro,"11,1",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Melocoton Botella 1700ml Botella X 1700ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Queso crema Finesse Vaso 200 g,6500,6500,FALSE,https://alpina.com/queso-crema-finesse-vaso-200-g,7702001015658,Gramo,"32,5",Finesse,Alpina,Quesos,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yogurt Finesse Melocoton Botella 1000 ml,15000,15000,FALSE,https://alpina.com/yogurt-finesse-melocoton-botella-1000-ml,7702001155224,Mililitro,"12,6",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Melocoton Botella 1000ml Botella X 1000ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Yogurt Finesse Natural con cereal x4 Und 170 g,15800,15800,FALSE,https://alpina.com/yogurt-finesse-natural-con-cereal-x4-und-170-g,7702001155309,Gramo,"19,5",Finesse,Alpina,Yogurt y Bebidas Lácteas,Nuestro Yogurt Finesse Natural con cereal x170g x4 Vaso X 170ml es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Queso Finesse Snack x6 Und 30 g,13800,13800,FALSE,https://alpina.com/queso-finesse-snack-x6-und-30-g,7702001110780,Gramo,"76,7",Finesse,Alpina,Quesos,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para las mujeres. Finesse se aleja de los castigos, las dietas extremas o sacrificios."
23-01,Medellin,Yox Multifruta Botella 100 g,2300,2300,FALSE,https://alpina.com/yox-multifruta-botella-100-g,7702001041961,Gramo,"19,3",Yox,Alpina,Yox,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Yox multisabor x4 Und Botella 100 g,8900,8900,FALSE,https://alpina.com/yox-multisabor-x4-und-botella-100-g,7702001041978,Gramo,"18,7",Yox,Alpina,Multisabor,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Yox Vainilla Botella 100 g,2300,2300,FALSE,https://alpina.com/yox-vainilla-botella-100-g,7702001041947,Gramo,"19,3",Yox,Alpina,Yox,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Yox Fresa x8 Und Botella  100 g,17500,17500,FALSE,https://alpina.com/yox-fresa-x8-und-botella-100-g,7702001101450,Gramo,"18,4",Yox,Alpina,Fresa,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Yox Fresa Botella 100 g,2300,2300,FALSE,https://alpina.com/yox-fresa-botella-100-g,7702001041923,Gramo,"19,3",Yox,Alpina,Fresa,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Yox multisabor x8 Und Botella 100 g,17500,17500,FALSE,https://alpina.com/yox-multisabor-x8-und-botella-100-g,7702001101474,Gramo,"18,4",Yox,Alpina,Multisabor,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Yox Naranja Miel Botella 100 g,2300,2300,FALSE,https://alpina.com/yox-naranja-miel-botella-100-g,7702001113026,Gramo,"19,3",Yox,Alpina,Naranja,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Yox multisabor x12 Und Botella 100 g,25401,25401,FALSE,https://alpina.com/yox-multisabor-x12-und-botella-100-g,7702001043064,Gramo,"17,8",Yox,Alpina,Multisabor,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Yox Vainilla x8 Und Botella 100 g,17500,17500,FALSE,https://alpina.com/yox-vainilla-x8-und-botella-100-g,7702001101467,Gramo,"18,4",Yox,Alpina,Yox,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Medellin,Leche Entera Alpina Bolsa 1100 ml,6200,6200,FALSE,https://alpina.com/leche-entera-alpina-bolsa-1100-ml,7702001041404,Mililitro,"5,6",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Descremada Deslactosada Alpina x6 Und Bolsa 1100 ml,37100,37100,FALSE,https://alpina.com/leche-descremada-deslactosada-alpina-x6-und-bolsa-1100-ml,7702001053858,Mililitro,"5,6",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Yox Multisabor Sin Azúcar x8 Und Botella 100 g,18200,18200,FALSE,https://alpina.com/yox-multisabor-sin-azucar-x8-und-botella-100-g,7702001157013,Gramo,"19,1",Yox,Alpina,Multisabor,Nuestro Yox multisabor sin azucar x8 100gr Botella es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Leche Entera Alpina x 4 Und Caja 1000 ml,25500,25500,FALSE,https://alpina.com/leche-entera-alpina-x-4-und-caja-1000-ml,7702001025015,Mililitro,"6,4",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Semidescremada Alpina x6 Und Bolsa 1100 ml,37100,37100,FALSE,https://alpina.com/leche-semidescremada-alpina-x6-und-bolsa-1100-ml,7702001050208,Mililitro,"5,6",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Entera Alpina Caja 1000 ml,6700,6700,FALSE,https://alpina.com/leche-entera-alpina-caja-1000-ml,7702001045051,Mililitro,"6,7",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Deslactosada Alpina Caja 1000 ml,6500,6500,FALSE,https://alpina.com/leche-deslactosada-alpina-caja-1000-ml,7702001045310,Mililitro,"6,5",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Deslactosada Alpina x4 Und Caja 1000 ml,24700,24700,FALSE,https://alpina.com/leche-deslactosada-alpina-x4-und-caja-1000-ml,7702001027576,Mililitro,"6,2",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Entera Alpina Caja 200 ml,2200,2200,FALSE,https://alpina.com/leche-entera-alpina-caja-200-ml,7702001045204,Mililitro,"11,0",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Descremada Deslactosada Alpina Caja 1000 ml,7200,7200,FALSE,https://alpina.com/leche-descremada-deslactosada-alpina-caja-1000-ml,7702001045075,Mililitro,"7,2",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Deslactosada Alpina Bolsa 1100 ml,6000,6000,FALSE,https://alpina.com/leche-deslactosada-alpina-bolsa-1100-ml,7702001045556,Mililitro,"5,5",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Deslactosada Alpina Caja 200 ml,2100,2100,FALSE,https://alpina.com/leche-deslactosada-alpina-caja-200-ml,7702001044481,Mililitro,"10,5",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Descremada Alpina Bolsa 1100 ml,6500,6500,FALSE,https://alpina.com/leche-descremada-alpina-bolsa-1100-ml,7702001050147,Mililitro,"5,9",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Descremada Alpina x6 Und Bolsa 1100 ml,37100,37100,FALSE,https://alpina.com/leche-descremada-alpina-x6-und-bolsa-1100-ml,7702001050352,Mililitro,"5,6",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina Descremada. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Descremada Deslactosada Alpina Bolsa 1100 ml,6500,6500,FALSE,https://alpina.com/leche-descremada-deslactosada-alpina-bolsa-1100-ml,7702001053841,Mililitro,"5,9",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Descremada Deslactosada Alpina x4 Und Caja 1000 ml,25800,25800,FALSE,https://alpina.com/leche-descremada-deslactosada-alpina-x4-und-caja-1000-ml,7702001146437,Mililitro,"6,5",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Deslactosada Alpina x6 Und Bolsa 1300 ml,37600,37600,FALSE,https://alpina.com/leche-deslactosada-alpina-x6-und-bolsa-1300-ml,7702001145782,Mililitro,"4,8",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Entera Alpina x6 Und Bolsa 1300 ml,38800,38800,FALSE,https://alpina.com/leche-entera-alpina-x6-und-bolsa-1300-ml,7702001155859,Mililitro,"5,0",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Semidescremada Alpina Bolsa 1100 ml,6500,6500,FALSE,https://alpina.com/leche-semidescremada-alpina-bolsa-1100-ml,7702001050130,Mililitro,"5,9",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Semidescremada Alpina x4 Und Caja 1000 ml,27400,27400,FALSE,https://alpina.com/leche-semidescremada-alpina-x4-und-caja-1000-ml,7702001154579,Mililitro,"6,9",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Leche Entera Alpina x6 Und Bolsa 1100 ml,35300,35300,FALSE,https://alpina.com/leche-entera-alpina-x6-und-bolsa-1100-ml,7702001041411,Mililitro,"5,3",Leche Alpina,Alpina,Cocinemos Juntos,Leche Alpina está libre de antibióticos. No agregamos conservantes. Capacitamos a nuestros ganaderos para que sus vacas sean ordeñadas bajo procesos altamente higiénicos. La Leche Alpina mantiene los macronutrientes naturales de la leche.
23-01,Medellin,Bon Yurt Piazza 174 g,3800,3800,FALSE,https://alpina.com/bon-yurt-piazza-174-g,7702001124763,Gramo,"18,4",Bon Yurt,Alpina,Yogurt y Bebidas Lácteas,
23-01,Medellin,Bon Yurt Choco Krispis 169 g,3800,3800,FALSE,https://alpina.com/bon-yurt-choco-krispis-169-g,7702001086054,Gramo,"18,9",Bon Yurt,Alpina,Yogurt y Bebidas Lácteas,
23-01,Medellin,Mini Bon Yurt Gomitas Trolli x2 Und 108 g,5900,5900,FALSE,https://alpina.com/mini-bon-yurt-gomitas-trolli-x2-und-108-g,7702001157457,Gramo,"23,0",Bon Yurt,Alpina,Mini Bon Yurt,
23-01,Medellin,Bon Yurt Black 173 g,3800,3800,FALSE,https://alpina.com/bon-yurt-black-173-g,7702001086498,Gramo,"18,5",Bon Yurt,Alpina,Yogurt y Bebidas Lácteas,
23-01,Medellin,Queso Mozarella Alpina 25 Tajadas 400 g,20000,20000,FALSE,https://alpina.com/queso-mozarella-alpina-25-tajadas-400-g,7702001121762,Gramo,"50,0",Queso mozarella,Alpina,Cocinemos Juntos,"Los quesos Alpina son buena fuente de proteína, Las proteínas son nutrientes esenciales que contribuyen al mantenimiento y restauración de tejidos corporales. Aporta naturalmente calcio."
23-01,Medellin,Yogo Yogo Fresh Bisabor x4 Und Botella 185 g,7399,7399,FALSE,https://alpina.com/yogo-yogo-fresh-bisabor-x4-und-botella-185-g,7702001156962,Gramo,"8,4",Yogo Yogo,Alpina,Yogo Yogo,
23-01,Medellin,Queso Holandés Alpina Bloque 450 g,34401,34401,FALSE,https://alpina.com/queso-holandes-alpina-bloque-450-g,7702001010486,Gramo,"64,2",Queso holandés,Alpina,Quesos Maduros,"Los quesos Alpina son buena fuente de proteína, Las proteínas son nutrientes esenciales que contribuyen al mantenimiento y restauración de tejidos corporales. Aporta naturalmente calcio."
23-01,Medellin,Yogo Yogo Bisabor x6 Und Bolsa 150 g,8600,8600,FALSE,https://alpina.com/yogo-yogo-bisabor-x6-und-bolsa-150-g,7702001055265,Gramo,"8,0",Yogo Yogo,Alpina,Yogo Yogo,"Yogo Yogo, el alimento lácteo con el objetivo de alimentar y refrescar a todos los niños y completar con toda su diversión la lonchera de cada uno de ellos con el mejor sabor."
23-01,Medellin,Yogo Yogo Fresa Vaso 150 g,1800,1800,FALSE,https://alpina.com/yogo-yogo-fresa-vaso-150-g,7702001047666,Gramo,"10,1",Yogo Yogo,Alpina,Yogo Yogo,"Yogo Yogo, el alimento lácteo con el objetivo de alimentar y refrescar a todos los niños y completar con toda su diversión la lonchera de cada uno de ellos con el mejor sabor."
23-01,Medellin,Yogo Yogo Melocotón Bolsa 1000 g,6100,6100,FALSE,https://alpina.com/yogo-yogo-melocoton-bolsa-1000-g,7702001046423,Gramo,"5,1",Yogo Yogo,Alpina,Yogo Yogo,"Yogo Yogo, el alimento lácteo con el objetivo de alimentar y refrescar a todos los niños y completar con toda su diversión la lonchera de cada uno de ellos con el mejor sabor."
23-01,Medellin,Yogo Yogo Cuchareable Melocotón 100 g,1399,1399,FALSE,https://alpina.com/yogo-yogo-cuchareable-melocoton-100-g,7702001155378,Gramo,"11,8",Yogo Yogo,Alpina,Yogo Yogo,
23-01,Medellin,Yogo Yogo Multisabor x8 Und Bolsa 150 g,11400,11400,FALSE,https://alpina.com/yogo-yogo-multisabor-x8-und-bolsa-150-g,7702001047437,Gramo,"8,0",Yogo Yogo,Alpina,Yogo Yogo,"Yogo Yogo, el alimento lácteo con el objetivo de alimentar y refrescar a todos los niños y completar con toda su diversión la lonchera de cada uno de ellos con el mejor sabor."
23-01,Medellin,Yogo Yogo Mora Vaso 150 gr,1800,1800,FALSE,https://alpina.com/yogo-yogo-mora-vaso-150-gr,7702001047673,Gramo,"10,1",Yogo Yogo,Alpina,Yogo Yogo,"Yogo Yogo, el alimento lácteo con el objetivo de alimentar y refrescar a todos los niños y completar con toda su diversión la lonchera de cada uno de ellos con el mejor sabor."
23-01,Medellin,Yogo Yogo Multisabor x4 Und Vaso 150 g,7000,7000,FALSE,https://alpina.com/yogo-yogo-multisabor-x4-und-vaso-150-g,7702001047604,Gramo,"9,8",Yogo Yogo,Alpina,Yogo Yogo,"Yogo Yogo, el alimento lácteo con el objetivo de alimentar y refrescar a todos los niños y completar con toda su diversión la lonchera de cada uno de ellos con el mejor sabor."
23-01,Medellin,Yogo Yogo Fresh Maracuyá Botella 185 ml,1900,1900,FALSE,https://alpina.com/yogo-yogo-fresh-maracuya-botella-185-ml,7702001155415,Mililitro,"8,6",Yogo Yogo,Alpina,Yogo Yogo,
23-01,Medellin,Yogo Yogo Fresa Bolsa 1000 g,6100,6100,FALSE,https://alpina.com/yogo-yogo-fresa-bolsa-1000-g,7702001046409,Gramo,"5,1",Yogo Yogo,Alpina,Yogo Yogo,"Yogo Yogo, el alimento lácteo con el objetivo de alimentar y refrescar a todos los niños y completar con toda su diversión la lonchera de cada uno de ellos con el mejor sabor."
