Fecha,Ciudad,Nombre,Precio Real,Precio Actual,Promocion,url,ean,Unidad de Medida,Cantidad,Marca,Compañia,Categoria,Descripcion
23-01,Bogotá,Bon Yurt Zucaritas 170 g,3800,3800,FALSE,https://alpina.com/bon-yurt-zucaritas-170-g,7702001086023,Gramo,"18,8",Bon Yurt,Alpina,Yogurt y Bebidas Lácteas,
23-01,Bogotá,Mini Bon Yurt Gomitas Trolli x4 Und 108 g,11600,11600,FALSE,https://alpina.com/mini-bon-yurt-gomitas-trolli-x4-und-108-g,7702001157631,Gramo,"22,6",Bon Yurt,Alpina,Mini Bon Yurt,
23-01,Bogotá,Mini Bon Yurt Chococandy x4 Und 100 g,11600,11600,FALSE,https://alpina.com/mini-bon-yurt-chococandy-x4-und-100-g,7702001104635,Gramo,"24,4",Bon Yurt,Alpina,Mini Bon Yurt,"Porque sabemos que a los pequeños también les encanta la deliciosa mezcla de nuestra base láctea con los toppings únicos que lo acompañan, nace Mini Bon Yurt con ChocoCandy, este tiene el tamaño ideal para que los pequeños no paren de disfrutar."
23-01,Bogotá,Bon Yurt Choco Krispis x4 Und 169 g,14600,14600,FALSE,https://alpina.com/bon-yurt-choco-krispis-x4-und-169-g,7702001100743,Gramo,"18,1",Bon Yurt,Alpina,Yogurt y Bebidas Lácteas,
23-01,Bogotá,Bon Yurt Chokogozzo 171 g,3800,3800,FALSE,https://alpina.com/bon-yurt-chokogozzo-171-g,7702001086337,Gramo,"18,7",Bon Yurt,Alpina,Yogurt y Bebidas Lácteas,
23-01,Bogotá,Bon Yurt Piazza 174 g,3800,3800,FALSE,https://alpina.com/bon-yurt-piazza-174-g,7702001124763,Gramo,"18,4",Bon Yurt,Alpina,Yogurt y Bebidas Lácteas,
23-01,Bogotá,Bon Yurt Zucaritas x4 Und 170 g,14600,14600,FALSE,https://alpina.com/bon-yurt-zucaritas-x4-und-170-g,7702001100736,Gramo,"18,0",Bon Yurt,Alpina,Yogurt y Bebidas Lácteas,
23-01,Bogotá,Yox Vainilla Botella 100 g,2300,2300,FALSE,https://alpina.com/yox-vainilla-botella-100-g,7702001041947,Gramo,"19,3",Yox,Alpina,Yox,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Bogotá,Yox multisabor x4 Und Botella 100 g,8900,8900,FALSE,https://alpina.com/yox-multisabor-x4-und-botella-100-g,7702001041978,Gramo,"18,7",Yox,Alpina,Multisabor,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Bogotá,Yox Fresa Botella 100 g,2300,2300,FALSE,https://alpina.com/yox-fresa-botella-100-g,7702001041923,Gramo,"19,3",Yox,Alpina,Fresa,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Bogotá,Yox multisabor x8 Und Botella 100 g,17500,17500,FALSE,https://alpina.com/yox-multisabor-x8-und-botella-100-g,7702001101474,Gramo,"18,4",Yox,Alpina,Multisabor,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Bogotá,Yox Naranja Miel Botella 100 g,2300,2300,FALSE,https://alpina.com/yox-naranja-miel-botella-100-g,7702001113026,Gramo,"19,3",Yox,Alpina,Naranja,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Bogotá,Yox multisabor x12 Und Botella 100 g,25401,25401,FALSE,https://alpina.com/yox-multisabor-x12-und-botella-100-g,7702001043064,Gramo,"17,8",Yox,Alpina,Multisabor,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Bogotá,Yox Fresa x8 Und Botella  100 g,17500,17500,FALSE,https://alpina.com/yox-fresa-x8-und-botella-100-g,7702001101450,Gramo,"18,4",Yox,Alpina,Fresa,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Bogotá,Yox Vainilla x8 Und Botella 100 g,17500,17500,FALSE,https://alpina.com/yox-vainilla-x8-und-botella-100-g,7702001101467,Gramo,"18,4",Yox,Alpina,Yox,Yox con Defensis es una un alimento lácteo con nuestra fórmula especial: Vitamina C y Zinc que contribuyen a reforzar el sistema de defensas consumiéndolo diariamente. Además contiene miles de probióticos que contribuyen al bienestar del cuerpo.
23-01,Bogotá,Yox Multisabor Sin Azúcar x8 Und Botella 100 g,18200,18200,FALSE,https://alpina.com/yox-multisabor-sin-azucar-x8-und-botella-100-g,7702001157013,Gramo,"19,1",Yox,Alpina,Multisabor,Nuestro Yox multisabor sin azucar x8 100gr Botella es un producto que hemos creado pensando en cada uno de nuestros consumidores. ¡Disfrútalo!
23-01,Medellin,Avena Finesse Botella x4 Und 280 ml ,16501,16501,FALSE,https://alpina.com/avena-finesse-botella-x4-und-280-ml,7702001158768,Mililitro,"12,4",Finesse,Alpina,Avena Finesse,Finesse llega como un aliado para demostrar que no hay que renunciar para sentirse completas y que pueden elegir sin sacrificios. Es una marca que se enfoca en el cuidado de la figura para ser complementado con una alimentación balanceada y ejercicio físico
23-01,Medellin,Yox Con Mentalis Manzana Verde Botella 100 gr ,2200,2200,FALSE,https://alpina.com/yox-con-mentalis-manzana-verde-botella-100-gr,7702001162543,Gramo,22,Yox,Alpina,Mentalis manzana verde,"Es un alimento lacteo fermentado excelente fuente de en vitamina B5 que contribuye con el rendimiento mental y cognitivo. Adicionalmente, tiene Colina, vitamina B12 y el probiótico Lactobacillus brevis generador del neurotransmisor GABA."
23-01,Medellin,Promoción Queso Finesse 45x35 Tajadas 675 g,23568,23568,FALSE,https://alpina.com/promocion-queso-finesse-45x35-tajadas-675-g,7702001159994,Gramo,"34,92",Finesse,Alpina,Quesos,"Queso Finesse es un queso fresco de pasta hilada, semiduro y semigraso. Es el complemento ideal para una alimentación balanceada y tus recetas deliciosas. Una porción de 30g aporta 70 calorías. Aporta el 25% del valor diario recomendado de calcio por porción. Aprovecha la promoción pague 35 lleve 45 tajadas."
23-01,Medellin,Gelatina Finesse Uva Verde 108 g ,1900,1900,FALSE,https://alpina.com/gelatina-finesse-uva-verde-108-g,7702001147274,Gramo,"14,8",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para tu bienestar."
23-01,Medellin,Gelatina Finesse Uva Verde x3 Und 108 g,5500,5500,FALSE,https://alpina.com/gelatina-finesse-uva-verde-x3-und-108-g,7702001147311,Gramo,"14,3",Finesse,Alpina,Postres,"Finesse es una marca que se enfoca en el cuidado de la figura, a lo largo de los años se ha convertido en el aliado perfecto para tu salud y bienestar."
23-01,Medellin,Yox Con Mentalis Frutos Rojos Botella 100 gr ,2200,2200,FALSE,https://alpina.com/yox-con-mentalis-frutos-rojos-botella-100-gr,7702001162550,Gramo,22,Yox,Alpina,Mentalis frutos rojos,
23-01,Medellin,Avena Finesse Botella 280 ml,4299,4299,FALSE,https://alpina.com/avena-finesse-botella-280-ml,7702001158645,Mililitro,"12,9",Finesse,Alpina,Avena Finesse,Finesse llega como un aliado para demostrar que no hay que renunciar para sentirse completas y que pueden elegir sin sacrificios. Es una marca que se enfoca en el cuidado de la figura para ser complementado con una alimentación balanceada y ejercicio físico
23-01,Medellin,Yox con Mentalis Multisabor x4 Und Botella 100 g,8900,8900,FALSE,https://alpina.com/yox-con-mentalis-multisabor-x4-und-botella-100-g,7702001162710,Gramo,"18,7",Yox,Alpina,Mentalis multisabor,"Es un alimento lacteo fermentado excelente fuente de en vitamina B5 que contribuye con el rendimiento mental y cognitivo. Adicionalmente, tiene Colina, vitamina B12 y el probiótico Lactobacillus brevis generador del neurotransmisor GABA."
23-01,Medellin,Yox con Mentalis Multisabor x8 Und Botella 100 g,17500,17500,FALSE,https://alpina.com/yox-con-mentalis-multisabor-x8-und-botella-100-g,7702001162567,Gramo,"18,4",Yox,Alpina,Mentalis multisabor,"Es un alimento lacteo fermentado excelente fuente de en vitamina B5 que contribuye con el rendimiento mental y cognitivo. Adicionalmente, tiene Colina, vitamina B12 y el probiótico Lactobacillus brevis generador del neurotransmisor GABA."
23-01,Medellin,Mini Bon Yurt Melos x4 Und 93 g,11600,11600,FALSE,https://alpina.com/mini-bon-yurt-melos-x4-und-93-g,7702001162574,Gramo,"26,2",Bon Yurt,Alpina,,
23-01,Medellin,Mini Bon Yurt Melos 93 g,3000,3000,FALSE,https://alpina.com/mini-bon-yurt-melos-93-g,7702001162505,Gramo,"27,1",Bon Yurt,Alpina,,
23-01,Medellin,Queso Mozarella Alpina Tajado Paga 20 y Lleva 25 Tajadas 400 g,11840,11840,FALSE,https://alpina.com/queso-mozarella-alpina-tajado-paga-20-y-lleva-25-tajadas-400-g,7702001133734,Gramo,"29,60",Queso mozarella,Alpina,Cocinemos Juntos,"Los quesos Alpina son buena fuente de proteína, Las proteínas son nutrientes esenciales que contribuyen al mantenimiento y restauración de tejidos corporales. Aporta naturalmente calcio."
23-01,Medellin,Yogo Yogo Cuchareable Fresa 100 g,1399,1399,FALSE,https://alpina.com/yogo-yogo-cuchareable-fresa-100-g,7702001158607,Gramo,"11,8",Yogo Yogo,Alpina,Yogo Yogo,
23-01,Medellin,Alpinito Fresa x6 Und Vaso 100 g,19600,19600,FALSE,https://alpina.com/alpinito-fresa-x6-und-vaso-100-g,7702001117550,Gramo,"27,5",Alpinito,Alpina,Postres,
23-01,Medellin,Alpinito MaxFrutos Rojos x4 Und Vaso 90 g,8100,8100,FALSE,https://alpina.com/alpinito-maxfrutos-rojos-x4-und-vaso-90-g,7702001100125,Gramo,"22,5",Alpinito,Alpina,Postres,
23-01,Medellin,Yogurt Griego Natural sin azúcar 1000 g,32000,32000,FALSE,https://alpina.com/yogurt-griego-natural-sin-azucar-1000-g,7702001162444,Gramo,"26,9",Yogurt Griego,Alpina,,
23-01,Medellin,Yogurt Griego Cama de Fruta Fresa 150 g,5300,5300,FALSE,https://alpina.com/yogurt-griego-cama-de-fruta-fresa-150-g,7702001163939,,"29,7",Yogurt Griego,Alpina,,"Yogurt Griego Alpina es una excelente fuente de proteina, importante en la formación y conservación de la masa muscular, además, aporta calcio que contribuye con el mantenimiento de huesos y dientes. Pruebalo con cama de fresas o mora-arandanos con ingredientes naturales, sin colorantes ni conservantes. "
23-01,Medellin,Yogurt Griego Multisabor Cama de Frutas x 6,30500,30500,FALSE,https://alpina.com/yogurt-griego-multisabor-cama-de-frutas-x-6,7702001163991,,"28,5",Yogurt Griego,Alpina,,"Yogurt Griego Alpina es una excelente fuente de proteina, importante en la formación y conservación de la masa muscular, además, aporta calcio que contribuye con el mantenimiento de huesos y dientes. Pruebalo con cama de fresas o mora-arandanos con ingredientes naturales, sin colorantes ni conservantes. "
23-01,Medellin,Yogurt Griego Alpina Coco Vaso 150 g,5300,5300,FALSE,https://alpina.com/yogurt-griego-alpina-coco-vaso-150-g,7702001148912,Gramo,"29,7",Yogurt Griego,Alpina,Yogurt Griego,
23-01,Medellin,Yogurt Griego Cama de Fruta Mora arandanos 150 g,5300,5300,FALSE,https://alpina.com/yogurt-griego-cama-de-fruta-mora-arandanos-150-g,7702001163946,,"29,7",Yogurt Griego,Alpina,,"Yogurt Griego Alpina es una excelente fuente de proteina, importante en la formación y conservación de la masa muscular, además, aporta calcio que contribuye con el mantenimiento de huesos y dientes. Pruebalo con cama de fresas o mora-arandanos con ingredientes naturales, sin colorantes ni conservantes. "
23-01,Medellin,Yogurt Griego Cama de Fruta Mora arandanos Cereal 159 g,5800,5800,FALSE,https://alpina.com/yogurt-griego-cama-de-fruta-mora-arandanos-cereal-159-g,7702001163953,,"30,7",Yogurt Griego,Alpina,,"Yogurt Griego Alpina es una excelente fuente de proteina, importante en la formación y conservación de la masa muscular, además, aporta calcio que contribuye con el mantenimiento de huesos y dientes. Pruebalo con cama de fresas o mora-arandanos con ingredientes naturales, sin colorantes ni conservantes. "
23-01,Medellin,Yogurt Griego Multisabor Cama de Frutas x 4,20200,20200,FALSE,https://alpina.com/yogurt-griego-multisabor-cama-de-frutas-x-4,7702001163984,,,Yogurt Griego,Alpina,,"Yogurt Griego Alpina es una excelente fuente de proteina, importante en la formación y conservación de la masa muscular, además, aporta calcio que contribuye con el mantenimiento de huesos y dientes. Pruebalo con cama de fresas o mora-arandanos con ingredientes naturales, sin colorantes ni conservantes. "
23-01,Medellin,Mini Bon Yurt Gomitas Trolli x4 Und 108 g,11600,11600,FALSE,https://alpina.com/mini-bon-yurt-gomitas-trolli-x4-und-108-g,7702001157631,Gramo,"22,6",Bon Yurt,Alpina,Mini Bon Yurt,
